,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CSNK1A1,10285.963348612564,0.5236780626696446,0.13899896141855322,3.7674962267721335,0.0001648930322665641,0.0005558235580924784
CSNK1D,1814.7175614817215,-0.6841137908450746,0.21982055894662061,-3.1121465349890185,0.0018573228222671637,0.0046980216569002435
CSNK1E,2157.4143736336464,0.10387673889202804,0.1417796067987774,0.7326634714078202,0.463763708508552,0.5526893588841074
CSNK1G1,2095.1911636410105,-0.15716817076579018,0.11364558095123344,-1.382967726947806,0.16667476177787033,0.23572594766167518
CSNK1G2,3136.6554998461206,-0.632417241851496,0.19437014946276465,-3.253674721141518,0.0011392264410791787,0.003057353243181577
CSNK1G3,4961.117595321888,0.2523847785051912,0.20489122644929136,1.2317988567834262,0.2180242304836777,0.29496187852471517
CSNK2A1,7698.516246963871,0.23333288351305806,0.12116020389310299,1.925821152619738,0.05412670930845439,0.08980759088051575
CSNK2A2,3387.934022043098,0.0930725115619147,0.15447065566391427,0.6025255163311726,0.5468243835208043,0.6302482321889046
CSNK2A3,22.480105132973172,1.0249792991159596,0.4496624945548276,2.279441384433683,0.02264084060831526,0.04221178201212802
CSNK2B,739.3679756715337,1.0739495981012717,0.20257192943198174,5.301571649698264,1.1480997144788715e-07,8.339690753586985e-07
CSPG4P11,20.30883697235994,0.993038592157467,0.6227434113999314,1.5946191866166992,0.11079741941552192,0.16655456035640637
CSPG4P12,32.381407081023994,-0.5849003013182388,0.3878205183766625,-1.5081726561722726,0.1315103436393209,0.19229356031074787
CSPP1,1550.376938254539,-0.21342061449718094,0.12343582830056457,-1.7290005457532527,0.08380899740306928,0.13122877601299224
CSRNP1,4670.106180033661,0.4111545307310934,0.1786872616022375,2.300972811628476,0.021393167920223537,0.04015571580986238
CSRNP2,965.0273894532903,-0.5966467655481376,0.15918996871059465,-3.748017355495772,0.00017823792371070762,0.0005955966490493802
CSRNP3,41.43306509706333,-1.8541230597472897,0.3725842000355234,-4.976386705529949,6.478216419182483e-07,3.936513123333233e-06
CSRP1,1557.6829746934206,0.4415531064593527,0.1359175642380733,3.2486831921585053,0.0011594052669343792,0.00310517779493071
CSRP1-AS1,17.574378448782667,-1.0884816063618363,0.4685159182985648,-2.323254267036866,0.020165497054872125,0.03812309297234949
CSRP2,87.27804503630733,-0.6538161838425544,0.32150244175346687,-2.0336274283848543,0.04198917420602408,0.07208377303933222
CST3,1580.9762595552484,2.027863734385746,0.25466875744109957,7.96275033797483,1.6825673826522438e-15,6.359541167110717e-14
CST7,342.36769206599513,0.25477405389220353,0.36226360609096403,0.7032836023506871,0.48187902753599643,0.5699115416328255
CSTA,110.48425437241694,0.5712798733956158,0.32414486322284985,1.7624214917848642,0.07799811009842868,0.12322732494196441
CSTB,918.5683899109323,-0.08495184201678559,0.1948618879330813,-0.4359592474335434,0.662866297442153,0.7331717049347923
CSTF1,1819.4782703182452,0.32809978321231803,0.16222595811751064,2.0224863333810883,0.0431261340715474,0.07385105053071508
CSTF2,660.1225960726316,0.2503572890348907,0.16623885800777952,1.5060094374756512,0.13206475099321038,0.19305061074590404
CSTF2T,4304.286424203994,0.4714855083551952,0.1358632526268194,3.470294573693461,0.0005198878540695249,0.0015372839615280596
CSTF3,1700.131877216525,-0.0788413460557703,0.17385723509930998,-0.4534832617735747,0.6502007934887675,0.72189194211729
CSTF3-DT,59.2918297083633,0.7226006990727546,0.28301584772746335,2.5532163830224786,0.010673316485462284,0.021803429939723118
CTBP1,6548.603550355993,0.23365041864893465,0.13786514948524353,1.6947750720274928,0.09011809807511713,0.13933997176441335
CTBP1-DT,955.257641900212,-0.1807701542770041,0.217321546698704,-0.8318096250604411,0.40551641016496953,0.4950691571949416
CTBP2,444.4839300950457,0.7871107096346415,0.28559004231242724,2.756085972961078,0.005849761894999016,0.01288448183174257
CTBS,1475.91229805212,0.40624179396916155,0.1454097901823507,2.793771956205392,0.005209720272778515,0.011658409431958606
CTC1,2712.423278767461,-0.7719644266898668,0.2376128848560382,-3.248832348286056,0.0011587975288519547,0.0031046027061780623
CTCF,6485.708089260473,-0.19832333725816195,0.1051750695657083,-1.8856496893901185,0.05934217672089948,0.09721557963640512
CTCF-DT,106.69461124389065,0.7057584175576331,0.276510195584485,2.5523775572390983,0.01069905080935105,0.02184470195618212
CTDNEP1,464.8167739134499,-0.6620214052636999,0.24806610275131538,-2.6687298180653567,0.007613866997379428,0.016211790389703176
CTDP1,2099.1151933188235,-0.08077967031802043,0.1490055614158666,-0.5421252035859834,0.5877322572839956,0.667067667588351
CTDSP1,2622.789973238034,-0.07854470559482496,0.15885552731261157,-0.49444112473503643,0.6209946763695862,0.6963390127564847
CTDSP2,6622.549526473439,0.07323575362373762,0.1525149765193972,0.480187292389763,0.6310942219455722,0.7051883168907346
CTDSPL,578.8020569168416,0.44119873653865244,0.153807378544355,2.868514766418826,0.004124039474685955,0.009529866851040427
CTDSPL2,6263.325716789318,0.4723717905519883,0.13027082669790432,3.6260750202146936,0.00028776178615406224,0.0009089061294378308
CTH,38.57646568864418,-0.0881560336371637,0.3798053468433648,-0.23210845863504934,0.8164537752295513,0.8621260024510611
CTHRC1,277.32212295784456,1.1967435667023856,0.32061465458560423,3.732653980677151,0.00018947279713046205,0.0006298086938489733
CTIF,141.01611964656325,-0.4388171215126881,0.2924298598964088,-1.5005893094095657,0.13346181812039967,0.19485844787766327
CTLA4,1410.7797632678312,1.9276149876684032,0.2760048550083427,6.98398942152716,2.869136766593955e-12,5.894602311497776e-11
CTNNA1,1085.1075408369759,0.9515161111630805,0.2484535979742814,3.829753800794531,0.00012827152756601903,0.00044579011526958527
CTNNAL1,1359.3012932841293,1.6733124805755712,0.24830222601744537,6.739015221144278,1.5946369861314962e-11,2.726587634620293e-10
CTNNB1,12884.637662610154,0.59580980354627,0.10474559507732797,5.688160949454876,1.2841476530050775e-08,1.1676024183511986e-07
CTNNBIP1,1152.625662454019,1.0341873631714542,0.14032731356564293,7.369822288286573,1.708556385199134e-13,4.521521328268194e-12
CTNNBL1,1930.1362290647037,-0.04085368221485338,0.14338759949920873,-0.2849178196548219,0.775707103462288,0.8290063885715576
CTNND1,1563.986533787716,0.3760615219637499,0.1666541689637882,2.256538341056822,0.024036936932262918,0.04445792163343735
CTNS,355.6088666013949,-0.1411320473020168,0.14342545412274987,-0.9840097642725938,0.3251107119895823,0.41326125502642297
CTPS1,2103.1718263842326,0.4326222332657275,0.13780552862354903,3.1393677567722666,0.0016931281584846927,0.004328435562443311
CTPS2,952.9979982877861,0.40810129777358684,0.15762394647060868,2.5890818426480866,0.009623221989645934,0.01988975460680483
CTR9,4166.966797104839,-0.42184162608767367,0.1119041829139469,-3.7696680776630607,0.00016346479564551165,0.0005519513371240518
CTSA,818.9988597754073,-0.4758379177890082,0.150794713500478,-3.155534479579086,0.0016020432960094026,0.004127638948736554
CTSB,2732.46688105695,0.41737421502279265,0.1508681918618327,2.76648251610936,0.0056664623297283095,0.012533170705218753
CTSC,4452.639121588139,0.22771636027377037,0.16363125243337012,1.3916434476139905,0.1640303952275719,0.2324438258319498
CTSD,2399.4779870795082,-0.5280095751890933,0.21280771444380422,-2.4811580565540257,0.013095629025085594,0.02603471032683117
CTSF,193.06699462240405,-0.004582967173686898,0.233959898944639,-0.019588686755123565,0.9843714887647341,0.9883752876386422
CTSG,821.1557721546801,2.5412741054092307,0.582436112003831,4.3631808760383235,1.281848753375338e-05,5.7681368426593465e-05
CTSH,357.8805596067275,1.5353516426514844,0.26042015126645174,5.895671418609125,3.731608863611492e-09,3.7962452309206675e-08
CTSK,148.83045385212543,-1.5881220655042658,0.23969884001776132,-6.6254891570880705,3.46100139754547e-11,5.451681064787725e-10
CTSL,1273.3050211953696,2.4226488458398627,0.613555040323557,3.948543629536943,7.862808704020553e-05,0.00028964021965979033
CTSO,1292.4066267539106,-0.5262625781926776,0.19656033574486173,-2.677358970712048,0.007420508466542418,0.01584706856757281
CTSS,3991.2173526604674,0.42791498984377996,0.14398304376662793,2.971981829592084,0.002958841946932466,0.007078549957538769
CTSV,2294.289480787225,-1.2533603962719222,0.27853591637374314,-4.499816083287969,6.801228037269838e-06,3.2591022675409815e-05
CTSW,1216.138071207297,-3.332057515098895,0.28899029768810885,-11.529997864132447,9.314602564690348e-31,2.0439084155492056e-28
CTSZ,677.1878423765065,1.348209299943547,0.26956135026393896,5.001493346963347,5.688793056266358e-07,3.499892581618076e-06
CTTN,448.19884596637075,-0.5599027815985727,0.27563170978756113,-2.031343861089528,0.04222012495550203,0.07241730042036441
CTTNBP2,19.85216769664766,0.19648534299234371,0.6678563467899865,0.29420300329066174,0.7686027858570855,0.8229261391054714
CTTNBP2NL,183.48224255255073,1.1463049903881322,0.2009033127198643,5.705754548639612,1.1582881289942037e-08,1.0614729785370897e-07
CTU1,122.96259638600638,-0.10885785361243186,0.22234469443258228,-0.48959051570910744,0.6244236891138142,0.6993669264362081
CTU2,363.2545627048683,-0.06103806898738435,0.1481874553069402,-0.41189767960423096,0.6804144216275921,0.7485804365341102
CUBN,1305.761566630259,-0.552427582837525,0.3358318053589997,-1.6449531402988686,0.09997947493428211,0.15258652670853198
CUEDC1,49.50305589532147,-0.7022489802995885,0.3816417336221033,-1.8400738662269738,0.06575739348670867,0.10625884460450859
CUEDC2,1002.2405351299561,0.20725950914903893,0.19436673456085612,1.0663322076039,0.2862734950806233,0.37148541673747576
CUL1,3991.5728078873185,0.24206878154763453,0.11602999655572352,2.08626035278197,0.03695504594393876,0.06457119783989033
CUL2,2292.3969548935315,0.19167356361733132,0.13257851562641382,1.4457362319354847,0.1482511978511863,0.213084122530103
CUL3,4995.747473754222,-0.16766548758893923,0.12148627273306367,-1.3801187888720816,0.16755007314108328,0.23673078211017481
CUL4A,3987.221530233581,-0.023438668761870052,0.11442770499429737,-0.20483386224549505,0.8377019296536325,0.8791001518829452
CUL4B,6091.88793048131,0.17594451837460853,0.13682828908611178,1.2858782313932118,0.19848556199553025,0.27315970330726325
CUL5,3773.880293659528,-0.020334065766863536,0.13580544192696514,-0.1497293884423203,0.8809781209225812,0.9124540010787898
CUL7,984.8036096106739,-0.18098449452930018,0.1376767822207695,-1.3145607531637777,0.18865756751511287,0.26177770149053825
CUL9,2441.7551486694374,-0.4811723757553322,0.16794539278109488,-2.865052549446872,0.004169400460312143,0.009620616017594792
CUTA,2927.437654682228,0.4814468715726267,0.14772874459882904,3.258992506028802,0.0011180862127162703,0.003006236227825792
CUTALP,2200.409927886255,-0.15752907863107501,0.500943093978273,-0.3144650171340767,0.753167882069177,0.8103293979240848
CUTC,1018.4961839745343,0.06673700557927435,0.1387500385476824,0.48098729396993806,0.6305255292236136,0.7048020968023117
CUX1,4927.384542745891,-0.4834960410925494,0.25320032856980856,-1.9095395484814592,0.05619252498141664,0.09279666584942003
CUX2,79.94860732987375,-0.4887613845284391,0.32994614182749565,-1.4813368685607364,0.13851682856194375,0.20125320714090025
CUZD1,100.5439794618826,-1.0056176205345044,0.31379592095091846,-3.2046867195950433,0.0013520955917306042,0.0035543690938022988
CWC15,3045.776334137289,0.5679772241467608,0.14454551830403528,3.9294004463845393,8.515792335272112e-05,0.00031050312279013175
CWC22,1844.5781829757082,-0.8091556836652164,0.12415660154233783,-6.51721836465773,7.162312462086912e-11,1.060518974587733e-09
