,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ABCA9,53.797117557731205,7.900249290085885e-07,0.0011299111151321275,0.6917191422004102,0.4891137233737659,0.6396640722977845
ABCB1,133.38470596339957,1.8801538416878836e-07,0.0011513388774396353,0.23627512213296825,0.8132191901450778,0.8861789354522752
ABCB10,1144.2101887333545,1.043131288055683e-05,0.0011190297510324902,2.8873869163176833,0.0038845621445318954,0.015721143455757453
ABCB10P1,0.0,,,,,
ABCB10P3,0.09209113186876493,-3.019648052411646e-07,0.0016752003119357203,-0.3088828179171751,0.757410667451334,
ABCB10P4,0.0,,,,,
ABCB11,0.39255499565849256,5.662562301026899e-07,0.0011141492090726267,0.6017966366340971,0.5473095142241342,
ABCB4,319.03520180645415,-7.687244558718939e-07,0.0014196326197313432,-0.9496520714138194,0.3422890706504571,0.4983931060564134
ABCB5,2028.6656803749186,-4.2341213404247044,1.000286900905587,-4.53864929352649,5.661570560239612e-06,5.3995652085661246e-05
ABCB6,2005.3522347898422,-6.96559614700861e-07,0.0011947175404257951,-0.30400392063210474,0.7611249042063858,0.8501026469645101
ABCB7,772.85510158308,5.667239779835497e-06,0.0011670264365154321,0.7590984359000033,0.44779367473328824,0.6020267344151701
ABCB8,1693.025432910229,3.8810727259135304e-07,0.0011671153676729603,0.2063202205501099,0.836540784596277,0.9010659992507437
ABCB9,1121.5381912297382,7.0499135828599845e-06,0.0010765057994913654,3.7996039373564314,0.00014492752050039893,0.0009376237205998791
ABCC1,2399.1787248100836,0.46761508087761566,0.22891794075205438,3.2947503876459447,0.000985091402802144,0.004879280410000587
ABCC10,1149.3788253058256,-1.0470140469553921,0.23748390689863796,-4.932993176897105,8.097898498927473e-07,9.61517889063915e-06
ABCC11,63.96495607547033,-1.1905478676919526e-06,0.0011807783919650704,-0.3069290843315766,0.7588973507537292,0.8485913560740777
ABCC12,0.2307552544702982,3.2448254029481454e-07,0.0011123772790748694,0.2998016705651877,0.7643284409814785,
ABCC13,5.846613809692983,3.6716775612064035e-06,0.0011233899763062314,2.109496204198625,0.03490177331457432,0.09338633208568292
